GEO_ID,NAME,DP03_0051E,DP03_0052E,DP03_0053E,DP03_0054E,DP03_0055E,DP03_0056E,DP03_0057E,DP03_0058E,DP03_0059E,DP03_0060E,DP03_0061E,DP03_0062E,DP03_0063E
1400000US25001014900,Census Tract 149; Barnstable County; Massachusetts,1840,50,67,64,68,116,294,207,390,161,423,107308,161624
1400000US25001015001,Census Tract 150.01; Barnstable County; Massachusetts,1912,90,12,147,87,108,351,159,456,370,132,100135,106294
1400000US25001015002,Census Tract 150.02; Barnstable County; Massachusetts,1822,81,59,74,132,116,338,180,422,303,117,84395,100138
1400000US25001015100,Census Tract 151; Barnstable County; Massachusetts,1863,90,9,164,134,215,201,241,366,225,218,88048,129253
1400000US25001015200,Census Tract 152; Barnstable County; Massachusetts,1256,32,0,22,48,64,103,192,175,140,480,138333,231675
1400000US25001015300,Census Tract 153; Barnstable County; Massachusetts,1923,170,167,208,170,323,156,281,284,97,67,43868,73308
1400000US25001990000,Census Tract 9900; Barnstable County; Massachusetts,0,0,0,0,0,0,0,0,0,0,0,-,-
1400000US25003900100,Census Tract 9001; Berkshire County; Massachusetts,1995,103,170,526,303,350,344,139,43,17,0,31835,39890
1400000US25003900200,Census Tract 9002; Berkshire County; Massachusetts,1852,25,187,251,166,312,364,353,115,48,31,49219,59680
1400000US25003900300,Census Tract 9003; Berkshire County; Massachusetts,1182,68,7,32,23,88,368,229,220,41,106,76786,94599
1400000US25003900400,Census Tract 9004; Berkshire County; Massachusetts,2139,88,18,115,201,153,510,178,541,94,241,74663,104814
1400000US25003900500,Census Tract 9005; Berkshire County; Massachusetts,1339,0,18,87,81,101,197,115,365,202,173,109554,127275
1400000US25003900600,Census Tract 9006; Berkshire County; Massachusetts,1543,190,218,179,66,103,284,183,198,44,78,50745,82987
1400000US25003900700,Census Tract 9007; Berkshire County; Massachusetts,1187,44,19,76,89,84,203,181,314,110,67,89583,100443
1400000US25003900800,Census Tract 9008; Berkshire County; Massachusetts,2274,102,12,106,62,230,186,506,546,189,335,98097,140231
1400000US25003900900,Census Tract 9009; Berkshire County; Massachusetts,2200,159,56,81,276,236,316,340,360,191,185,70625,100253
1400000US25003901100,Census Tract 9011; Berkshire County; Massachusetts,1745,116,89,209,117,437,194,207,214,116,46,46947,65210
