id,name,status,latitude,longitude,hu,affrd_unit,aff_u30,aff_30_50,aff_50_80,aff_80p,municipal,nhood,n_transit
5289,Trunnel Estates,completed,42.1611546975628,-70.77296381747,3,0,0,0,0,0,Norwell,,[]
5240,Accord Executive Business Park,completed,42.1648246805465,-70.8833684268123,0,0,0,0,0,0,Norwell,,[]
5291,Wildwood Estates,completed,42.1479238062222,-70.8051686035979,4,0,0,0,0,0,Norwell,,[]
5241,Accord Pond Park,completed,42.1665378276727,-70.88485893445,0,0,0,0,0,0,Norwell,,[]
1651,Herring Brook Hill 40B,completed,42.1592846174365,-70.7927179094947,18,18,4,6,8,0,Norwell,,[]
5295,Natale's Mens Clothier,completed,42.1605740704441,-70.8607739426339,0,0,0,0,0,0,Norwell,,[]
6621,The Anglim Building,completed,42.0838990301155,-71.0169838153404,55,11,0,0,0,11,Brockton,,"[""Commuter Rail: Brockton""]"
6173,Happy Valley Compassion Center,completed,42.6690362834414,-72.5379354584606,0,0,0,0,0,0,Bernardston,,"[""RTA: FRTA""]"
3777,Millbrook Lofts,completed,42.3741587300014,-71.0869822465187,100,15,0,8,7,0,Somerville,Twin City,"[""Rapid Transit: Washington Street""]"
5402,Caruso Companies,completed,42.4280943743258,-71.007801577735,0,0,0,0,0,0,Revere,,[]
671,Hampshire Inn Affordable Housing Expansion- Sergeant House,completed,42.3226524769004,-72.6260099389341,31,31,18,13,0,0,Northampton,,"[""RTA: FRTA"", ""RTA: PVTA""]"
5431,Amazon Last Mile Delivery Station Network,completed,42.2925693833747,-71.5765710033896,0,0,0,0,0,0,Westborough,,[]
5550,17 Broad Street,completed,42.8311753925759,-70.9967636188841,0,0,0,0,0,0,Merrimac,,"[""RTA: MVRTA""]"
4157,Poras Realty Trust,completed,42.4501106798191,-71.7060767571844,15,15,0,0,0,0,Lancaster,,[]
111,54 Middlesex Turnpike,completed,42.5120969110264,-71.2391265665821,0,0,0,0,0,0,Bedford,,"[""RTA: LRTA""]"
